date,open,high,close,low,volume,p_change
2019-05-06,13.1,13.35,12.87,12.71,2108667.75,-7.08
2019-05-07,13.03,13.09,12.95,12.72,1072658.38,0.62
2019-05-08,12.72,12.91,12.6,12.5,975450.81,-2.7
2019-05-09,12.52,12.58,12.16,12.05,1557151.62,-3.49
2019-05-10,12.34,12.75,12.68,12.1,1192399.0,4.28
2019-05-13,12.33,12.54,12.3,12.23,741917.75,-3.0
2019-05-14,12.2,12.75,12.49,12.16,1182598.12,1.54
2019-05-15,12.58,13.11,12.92,12.57,1103988.5,3.44
2019-05-16,12.93,12.99,12.85,12.78,634901.44,-0.54
2019-05-17,12.92,12.93,12.44,12.36,965000.88,-3.19
2019-05-20,12.35,12.54,12.38,12.25,786435.19,-0.48
2019-05-21,12.4,12.73,12.56,12.36,731210.5,1.45
2019-05-22,12.57,12.57,12.4,12.32,506230.72,-1.27
2019-05-23,12.24,12.42,12.29,12.14,666855.44,-0.89
2019-05-24,12.35,12.45,12.35,12.31,495526.19,0.49
2019-05-27,12.21,12.42,12.37,11.93,1048426.0,0.16
2019-05-28,12.31,12.55,12.49,12.26,880703.12,0.97
2019-05-29,12.36,12.59,12.4,12.26,666411.5,-0.72
2019-05-30,12.32,12.38,12.22,12.11,646284.62,-1.45
2019-05-31,12.16,12.4,12.18,12.11,686794.38,-0.33
